节点,目标,欧几里得距离,选取的邻居,最小绕行-穿越差值,最终启发式值 h(n)
观塘码头,葵青货柜码头,10925.203714563222,观塘码头 -> 鲤鱼门避风塘,0.0,10925.203714563222
鲤鱼门避风塘,葵青货柜码头,12658.282861571784,鲤鱼门避风塘 -> 观塘码头,0.0,12658.282861571784
东部锚地,葵青货柜码头,14441.174365195166,东部锚地 -> 鲤鱼门避风塘,0.0,14441.174365195166
中部锚地,葵青货柜码头,10265.167166487108,中部锚地 -> 基列特 2 号,8431.96,18697.12716648711
九龙湾避风塘,葵青货柜码头,3606.9464220086493,九龙湾避风塘 -> 昂船洲避风塘,0.0,3606.9464220086493
基列特 1 号,葵青货柜码头,4361.9028919732955,基列特 1 号 -> 九龙湾避风塘,0.0,4361.9028919732955
红磡码头,葵青货柜码头,8356.575810319979,红磡码头 -> 九龙湾避风塘,9359.32,17715.895810319977
昂船洲避风塘,葵青货柜码头,2819.591466957758,昂船洲避风塘 -> 油麻地避风塘,0.0,2819.591466957758
基列特 1 号,葵青货柜码头,4361.9028919732955,基列特 1 号 -> 九龙湾避风塘,0.0,4361.9028919732955
西部检疫及入境锚地,葵青货柜码头,3605.793825085677,西部检疫及入境锚地 -> 油麻地避风塘,0.0,3605.793825085677
油麻地避风塘,葵青货柜码头,4442.807241144387,油麻地避风塘 -> 昂船洲避风塘,0.0,4442.807241144387
西部危险品锚地,葵青货柜码头,2528.9688047463137,西部危险品锚地 -> 西部检疫及入境锚地,0.0,2528.9688047463137
基列特 3 号,葵青货柜码头,3255.8049379434574,基列特 3 号 -> 青衣避风塘,0.0,3255.8049379434574
中环码头,葵青货柜码头,6395.060496482656,中环码头 -> 铜锣湾避风塘,0.0,6395.060496482656
西区公用码头,葵青货柜码头,5230.247156715445,西区公用码头 -> 西部检疫及入境锚地,0.0,5230.247156715445
葵青货柜码头,葵青货柜码头,0.0,葵青货柜码头 -> 西部检疫及入境锚地,0.0,0.0
