障碍物,点编号,X (m),Y (m)
青衣,1,9059.759,6591.635
青衣,2,9358.15,5148.325
青衣,3,12108.489,5696.516
青衣,4,11655.759,7063.102
7号货柜码头,1,12733.052,6163.535
7号货柜码头,2,13347.325,6335.887
7号货柜码头,3,13026.298,5389.618
7号货柜码头,4,13775.362,5635.359
昂船洲,1,12583.857,4801.397
昂船洲,2,13307.197,4319.923
昂船洲,3,14734.328,4134.227
昂船洲,4,15076.962,4789.165
青洲,1,13396.714,1167.547
青洲,2,13530.475,1056.352
青洲,3,13458.45,989.635
青洲,4,13365.846,1089.71
东博寮海峡小岛,1,25692.469,366.943
东博寮海峡小岛,2,25774.784,411.421
东博寮海峡小岛,3,25795.363,300.226
东博寮海峡小岛,4,25702.759,277.987
政府船只维修码头,1,14703.46,3591.596
政府船只维修码头,2,14765.196,3636.074
政府船只维修码头,3,14785.774,3569.357
政府船只维修码头,4,14734.328,3535.999
香港国际邮轮码头,1,19827.548,2446.288
香港国际邮轮码头,2,19889.284,2490.766
香港国际邮轮码头,3,19909.863,2401.81
香港国际邮轮码头,4,19848.127,2357.332
昂船洲大桥,1,13674.526,4047.495
昂船洲大桥,2,13746.551,4103.093
昂船洲大桥,3,13767.13,4014.137
昂船洲大桥,4,13695.105,3969.659
西九龙高架桥,1,16421.778,3346.967
西九龙高架桥,2,16504.093,3391.445
西九龙高架桥,3,16524.672,3280.25
西九龙高架桥,4,16442.357,3235.772
香港中区油库,1,15907.312,544.855
香港中区油库,2,15989.626,589.333
香港中区油库,3,16010.205,500.377
香港中区油库,4,15927.89,455.899
昂船洲军用码头,1,14363.911,4225.407
昂船洲军用码头,2,14446.226,4269.885
昂船洲军用码头,3,14466.805,4180.929
昂船洲军用码头,4,14384.49,4136.451
香港国际机场水域,1,-20.579,3113.458
香港国际机场水域,2,61.736,3157.936
香港国际机场水域,3,82.315,3068.98
香港国际机场水域,4,0.0,3024.502
昂船洲军事禁区水域,1,13643.658,4659.067
昂船洲军事禁区水域,2,13725.973,4703.545
昂船洲军事禁区水域,3,13746.551,4614.589
昂船洲军事禁区水域,4,13664.237,4570.111
油麻地避风塘渔船区,1,16164.545,3324.728
油麻地避风塘渔船区,2,16246.86,3369.206
油麻地避风塘渔船区,3,16267.438,3280.25
油麻地避风塘渔船区,4,16185.124,3235.772
香港仔避风塘渔船区,1,12306.045,2123.823
香港仔避风塘渔船区,2,12388.359,2168.301
香港仔避风塘渔船区,3,12408.938,2079.345
香港仔避风塘渔船区,4,12326.623,2034.867
九龙边界,1,15866.154,4242.086
九龙边界,2,18095.853,791.708
九龙边界,3,20367.738,1815.813
九龙边界,4,19835.78,2557.483
九龙边界,5,19150.51,2933.322
九龙边界,6,18774.949,3054.525
九龙边界,7,18636.043,3467.058
九龙边界,8,15866.154,4242.086
香港北角边界,1,18750.255,503.713
香港北角边界,2,20704.2,1493.348
香港北角边界,3,22237.311,972.956
香港北角边界,4,23725.148,296.89
香港石塘咀边界,1,12298.842,35.582
香港石塘咀边界,2,13623.079,763.909
香港石塘咀边界,3,15051.239,1075.255
香港石塘咀边界,4,17103.961,302.45
香港石塘咀边界,5,17952.832,250.189
