起点,终点,欧几里得距离 (m),穿越交点总长度 (m),障碍物绕行距离 (m),最终权重 (m),穿越障碍物
中环码头,铜锣湾避风塘,3007.98,0.0,0.0,3007.98,无
尖沙咀码头,油麻地避风塘,2176.28,88.19,155.58,2274.79,油麻地避风塘渔船区
观塘码头,鲤鱼门避风塘,2257.84,0.0,0.0,2257.84,无
红磡码头,九龙湾避风塘,6591.04,1320.66,10679.98,18086.36,九龙边界
葵青货柜码头,青衣避风塘,4332.64,987.17,3064.54,7022.92,"7号货柜码头, 昂船洲, 政府船只维修码头"
油麻地避风塘,昂船洲避风塘,2268.76,0.0,0.0,2268.76,无
九龙湾避风塘,鲤鱼门避风塘,12687.11,3069.72,4329.09,14812.29,九龙边界
铜锣湾避风塘,北角避风塘,6935.54,221.1,351.64,7136.4,"九龙边界, 香港北角边界"
鲤鱼门避风塘,东部锚地,2075.21,0.0,0.0,2075.21,无
九龙湾避风塘,昂船洲避风塘,2288.3,0.0,0.0,2288.3,无
油麻地避风塘,北角避风塘,3085.03,0.0,0.0,3085.03,无
青衣避风塘,昂船洲避风塘,1728.56,0.0,0.0,1728.56,无
北角避风塘,昂船洲避风塘,852.66,0.0,0.0,852.66,无
北角避风塘,油麻地避风塘,3085.03,0.0,0.0,3085.03,无
鲤鱼门避风塘,九龙湾避风塘,12687.11,3069.72,4329.09,14812.29,九龙边界
油麻地避风塘,西部检疫及入境锚地,5529.78,0.0,0.0,5529.78,无
九龙湾避风塘,基列特 1 号,1094.91,0.0,0.0,1094.91,无
九龙湾避风塘,中部锚地,9881.17,3320.11,11770.24,20685.35,"九龙边界, 香港北角边界"
青衣避风塘,基列特 3 号,2023.55,0.0,0.0,2023.55,无
铜锣湾避风塘,基列特 2 号,6883.21,0.0,0.0,6883.21,无
九龙湾避风塘,西部检疫及入境锚地,1306.99,0.0,0.0,1306.99,无
东部锚地,基列特 1 号,15030.39,4805.16,5665.13,17023.38,"九龙边界, 香港北角边界"
西部检疫及入境锚地,西部危险品锚地,1265.95,0.0,0.0,1265.95,无
西部检疫及入境锚地,基列特 3 号,2788.46,0.0,0.0,2788.46,无
东部锚地,中部锚地,4263.3,827.35,9595.37,14950.38,香港北角边界
基列特 3 号,基列特 2 号,851.22,0.0,0.0,851.22,无
基列特 2 号,基列特 1 号,1927.06,0.0,0.0,1927.06,无
西部危险品锚地,基列特 1 号,1842.59,0.0,0.0,1842.59,无
中部锚地,基列特 2 号,8956.82,3305.04,11737.0,19736.18,"九龙边界, 香港北角边界"
西部危险品锚地,基列特 3 号,1870.95,0.0,0.0,1870.95,无
西部检疫及入境锚地,中环码头,6120.78,0.0,0.0,6120.78,无
东部锚地,观塘码头,4331.19,0.0,0.0,4331.19,无
基列特 1 号,红磡码头,7580.32,1339.51,10848.67,19259.2,"香港仔避风塘渔船区, 九龙边界"
基列特 3 号,尖沙咀码头,4121.71,0.0,0.0,4121.71,无
观塘码头,中部锚地,2948.66,73.35,10349.37,15294.56,香港北角边界
西区公用码头,西部检疫及入境锚地,3608.33,0.0,0.0,3608.33,无
西区公用货物装卸区,基列特 3 号,2964.65,0.0,0.0,2964.65,无
葵青货柜码头,西部检疫及入境锚地,3605.79,0.0,0.0,3605.79,无
尖沙咀码头,基列特 2 号,4633.51,0.0,0.0,4633.51,无
